/home/gorgsss/.local/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Using cuda device
Logging to ./logger/PPO_160
-----------------------------
| time/              |      |
|    fps             | 158  |
|    iterations      | 1    |
|    time_elapsed    | 12   |
|    total_timesteps | 2048 |
-----------------------------
----------------------------------------
| time/                   |            |
|    fps                  | 152        |
|    iterations           | 2          |
|    time_elapsed         | 26         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.02738535 |
|    clip_fraction        | 0.347      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.3      |
|    explained_variance   | -1.26      |
|    learning_rate        | 0.002      |
|    loss                 | -0.00539   |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0374    |
|    std                  | 0.994      |
|    value_loss           | 0.186      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 21          |
| time/                   |             |
|    fps                  | 154         |
|    iterations           | 3           |
|    time_elapsed         | 39          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.025509432 |
|    average_reward       | 21          |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | -0.842      |
|    learning_rate        | 0.002       |
|    loss                 | -0.0113     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0272     |
|    std                  | 0.986       |
|    value_loss           | 0.118       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 21         |
| time/                   |            |
|    fps                  | 139        |
|    iterations           | 4          |
|    time_elapsed         | 58         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.03372165 |
|    clip_fraction        | 0.335      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.2      |
|    explained_variance   | -0.265     |
|    learning_rate        | 0.002      |
|    loss                 | 0.00471    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0263    |
|    std                  | 0.978      |
|    value_loss           | 0.117      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 22.9        |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 5           |
|    time_elapsed         | 74          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.011549674 |
|    average_reward       | 22.9        |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.515       |
|    learning_rate        | 0.002       |
|    loss                 | -0.0181     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.022      |
|    std                  | 0.981       |
|    value_loss           | 0.0532      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 22.9        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 6           |
|    time_elapsed         | 85          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.030113429 |
|    clip_fraction        | 0.331       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | -0.295      |
|    learning_rate        | 0.002       |
|    loss                 | 0.016       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.021      |
|    std                  | 0.979       |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 22.9        |
| time/                   |             |
|    fps                  | 148         |
|    iterations           | 7           |
|    time_elapsed         | 96          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.030336158 |
|    clip_fraction        | 0.391       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.387       |
|    learning_rate        | 0.002       |
|    loss                 | 0.0142      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0212     |
|    std                  | 0.975       |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 32.4        |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 8           |
|    time_elapsed         | 108         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.023891177 |
|    average_reward       | 32.4        |
|    clip_fraction        | 0.351       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.0865     |
|    learning_rate        | 0.002       |
|    loss                 | -0.00497    |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0233     |
|    std                  | 0.973       |
|    value_loss           | 0.084       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 32.4       |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 9          |
|    time_elapsed         | 122        |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.02554293 |
|    clip_fraction        | 0.327      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.1      |
|    explained_variance   | 0.0959     |
|    learning_rate        | 0.002      |
|    loss                 | 0.00229    |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0235    |
|    std                  | 0.974      |
|    value_loss           | 0.0901     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 5e+03     |
|    ep_rew_mean          | 44.5      |
| time/                   |           |
|    fps                  | 153       |
|    iterations           | 10        |
|    time_elapsed         | 133       |
|    total_timesteps      | 20480     |
| train/                  |           |
|    approx_kl            | 0.0456024 |
|    average_reward       | 44.5      |
|    clip_fraction        | 0.367     |
|    clip_range           | 0.2       |
|    entropy_loss         | -11.1     |
|    explained_variance   | -0.608    |
|    learning_rate        | 0.002     |
|    loss                 | -0.00226  |
|    n_updates            | 90        |
|    policy_gradient_loss | -0.0199   |
|    std                  | 0.972     |
|    value_loss           | 0.11      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 44.5       |
| time/                   |            |
|    fps                  | 155        |
|    iterations           | 11         |
|    time_elapsed         | 144        |
|    total_timesteps      | 22528      |
| train/                  |            |
|    approx_kl            | 0.00966551 |
|    clip_fraction        | 0.327      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.1      |
|    explained_variance   | -0.137     |
|    learning_rate        | 0.002      |
|    loss                 | 0.018      |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0235    |
|    std                  | 0.964      |
|    value_loss           | 0.137      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 44.5       |
| time/                   |            |
|    fps                  | 158        |
|    iterations           | 12         |
|    time_elapsed         | 155        |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.01914407 |
|    clip_fraction        | 0.234      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11        |
|    explained_variance   | 0.623      |
|    learning_rate        | 0.002      |
|    loss                 | 0.0174     |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0186    |
|    std                  | 0.959      |
|    value_loss           | 0.0962     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 58          |
| time/                   |             |
|    fps                  | 160         |
|    iterations           | 13          |
|    time_elapsed         | 166         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.038558014 |
|    average_reward       | 58          |
|    clip_fraction        | 0.367       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.354       |
|    learning_rate        | 0.002       |
|    loss                 | 0.0286      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0186     |
|    std                  | 0.955       |
|    value_loss           | 0.179       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 58          |
| time/                   |             |
|    fps                  | 162         |
|    iterations           | 14          |
|    time_elapsed         | 176         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.026063904 |
|    clip_fraction        | 0.367       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.263       |
|    learning_rate        | 0.002       |
|    loss                 | 0.0483      |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0191     |
|    std                  | 0.954       |
|    value_loss           | 0.179       |
-----------------------------------------
30000
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 77.1        |
| time/                   |             |
|    fps                  | 163         |
|    iterations           | 15          |
|    time_elapsed         | 187         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.025089238 |
|    average_reward       | 77.1        |
|    clip_fraction        | 0.302       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | -0.152      |
|    learning_rate        | 0.002       |
|    loss                 | 0.0405      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0164     |
|    std                  | 0.951       |
|    value_loss           | 0.185       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 77.1        |
| time/                   |             |
|    fps                  | 165         |
|    iterations           | 16          |
|    time_elapsed         | 198         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.013961464 |
|    clip_fraction        | 0.302       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.132       |
|    learning_rate        | 0.002       |
|    loss                 | 0.0508      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0165     |
|    std                  | 0.952       |
|    value_loss           | 0.226       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 77.1        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 17          |
|    time_elapsed         | 206         |
|    total_timesteps      | 34816       |
| train/                  |             |
